	smiles	torsion_atom_ids	angles	energy	method	basis	program	molid
10	[H]C1=C(C(=O)[N:1]([C:2](=C1[H])[C:3]2=C(C(=C([N:4]2C([H])([H])[H])[H])[H])[H])[H])[H]	(10, 6, 7, 11)	[-60, 90, -75, -45, 75, 105, -90, -30, 60, 120, -105, -15, 45, 135, -120, 0, 30, 150, -135, 15, 165, -150, 180, -165]	[-571.9119657105472, -571.9100529072148, -571.9107281400907, -571.9126432839328, -571.9107230290532, -571.9107717908443, -571.9100504424961, -571.9121248769188, -571.9119502420077, -571.9123432303384, -571.9107701948593, -571.9104029262573, -571.9126443297441, -571.9137268396142, -571.912343302279, -571.9087126666079, -571.91212514863, -571.9140142551375, -571.9137280117975, -571.9104030339473, -571.9127907816845, -571.9140140244151, -571.9111411735491, -571.9127906696492]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_10
11	[H]c1c([n:1][c:2](nc1[H])[C:3]2=C(SC(=[C:4]2[H])[H])[H])[H]	(8, 3, 7, 4)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-816.1883295673679, -816.1876594006337, -816.1876595248003, -816.1856857509858, -816.1856857517175, -816.1826391542135, -816.1826391557478, -816.1791079806493, -816.1791079850695, -816.1761283577433, -816.1761283627843, -816.1749591576879, -816.174959160523, -816.1762032506668, -816.1762031375846, -816.1791826662547, -816.1791838354148, -816.1826673618829, -816.1826650399249, -816.1856754573208, -816.1856754279955, -816.1876503397231, -816.1876505302363, -816.1883314428417]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_11
12	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(N(c3[c:4]2c(c(c(c3[H])[H])[H])[H])[H])[H])[H])[H]	(5, 9, 13, 10)	[-60, -75, -45, -90, -30, -105, -15, -120, 0, -135, 15, -150, 30, -165, 45, 60, 180, 75, 165, 90, 150, 105, 135, 120]	[-594.9730455583652, -594.97144948796, -594.9742671474913, -594.9707556216111, -594.9741802725481, -594.9715727352195, -594.9726597185834, -594.9731113995093, -594.970983498936, -594.97425459366, -594.9726612904931, -594.9742364718443, -594.9741799872196, -594.9728159514008, -594.9742680730251, -594.9730441103983, -594.9709836004512, -594.9714485208054, -594.9728158897136, -594.9707569704884, -594.9742358754619, -594.9715755178231, -594.9742546439736, -594.9731122842066]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_12
13	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]c3c(c(c(c(c3N2[H])[H])[H])[H])[H])[H])[H]	(5, 9, 12, 13)	[30, 15, 45, 0, 60, -15, 75, -30, 90, -45, 105, -60, 120, -75, 135, -90, 150, -105, 165, -120, 180, -165, -135, -150]	[-611.029732200308, -611.0303794131437, -611.0281484889829, -611.0304366578409, -611.0258911249722, -611.0303790775894, -611.0237561354268, -611.0297322865065, -611.0227930583499, -611.0281479676669, -611.0237202352072, -611.0258957220124, -611.0259011361, -611.0237563515433, -611.0281740419583, -611.0227929094174, -611.0297480089765, -611.0237205932963, -611.0303821589144, -611.0259010988914, -611.0304365579818, -611.0303821007003, -611.028174552159, -611.0297475490963]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_13
14	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(C(=C([N:4]2C([H])([H])[H])[H])[H])[H])[H])[H]	(3, 5, 9, 11)	[120, 105, 135, 90, 150, 75, 165, 60, 180, -165, 45, -150, 30, -135, 15, -120, 0, -105, -15, -90, -30, -75, -45, -60]	[-480.6173449098997, -480.6160994185534, -480.61819920372045, -480.615404957986, -480.61789034001686, -480.61608699516927, -480.6160797104027, -480.6174260134505, -480.61390996058253, -480.6160792663876, -480.6182362360494, -480.61789026282855, -480.6177281446831, -480.6181996766096, -480.61582233315687, -480.61734429863947, -480.61391006349106, -480.61609831025777, -480.61582127604987, -480.6154042411825, -480.61772852994443, -480.61608754310674, -480.61823592543584, -480.6174256325948]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_14
15	[H][c:1]1c(c2c(c([c:2]1[C:3]3=C(C(=C([O:4]3)[H])[H])[H])[H])c(nc(n2)[H])[H])[H]	(0, 6, 11, 14)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-646.9150905338947, -646.9148781777227, -646.9148781943413, -646.9140156793455, -646.914015653235, -646.9122937116798, -646.9122938351676, -646.9099337342752, -646.9099340583145, -646.9076790892473, -646.9076793605544, -646.9065811624205, -646.9065815225509, -646.9073259383849, -646.9073259863675, -646.9094576955638, -646.9094588756652, -646.9120156648883, -646.9120155283925, -646.9141713117992, -646.9141716447908, -646.91546048151, -646.9154608525381, -646.9158464786402]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_15
16	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]C(=C(N2[H])[H])[H])[H])[H]	(3, 5, 8, 9)	[30, 15, 45, 0, 60, -15, 75, -30, 90, -45, 105, -60, 120, -75, 135, -90, 150, -105, 165, -120, 180, -165, -135, -150]	[-457.353642938263, -457.3543057422858, -457.352074509667, -457.3544015964351, -457.34984914354703, -457.35430583178004, -457.34768658120606, -457.3536430125667, -457.34670686797017, -457.3520744674542, -457.347658273489, -457.3498494740633, -457.3498438863691, -457.34768695847214, -457.35209562637044, -457.34670718512956, -457.35365519017313, -457.3476586814586, -457.35430780912765, -457.3498451761935, -457.3544022674899, -457.3543079437137, -457.3520949582535, -457.35365513598896]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_16
17	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]OC(=[N+]2[H])[N-][H])[H])[H]	(3, 5, 6, 8)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-548.5857147019526, -548.5860031502204, -548.586003113921, -548.5858065925918, -548.5858067629323, -548.5847281025578, -548.5847274785162, -548.5830090765186, -548.5830093089106, -548.5813406661579, -548.5813413293275, -548.5805804449351, -548.5805797129818, -548.5812748773775, -548.5812751174255, -548.582985870287, -548.5829858687816, -548.5847332321048, -548.5847340917633, -548.5858106232143, -548.5858112112437, -548.5860025292334, -548.5860026555407, -548.5857146882468]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_17
18	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=NN(C(=[N:4]2)[H])[H])[H])[H]	(3, 5, 7, 8)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-473.3914943006848, -473.3910719210576, -473.39107197874245, -473.38979340813194, -473.38979340061286, -473.3876661212138, -473.38766600210283, -473.3850274271388, -473.3850274403239, -473.38263110949947, -473.38263107476183, -473.3815823111056, -473.3815825788948, -473.38255960033956, -473.38256023046523, -473.3849394390295, -473.3849419462251, -473.3876152649354, -473.3876157570321, -473.3897819064204, -473.38978207219174, -473.39107056757814, -473.3910706623494, -473.3914877217403]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_18
19	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C([n+]3c(c(c(c(c3[N:4]2[H])[H])[H])[H])[H])[H])[H])[H]	(5, 9, 12, 14)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-611.3997416594577, -611.4002147141643, -611.4002147132627, -611.4005716998979, -611.4005716963549, -611.4000056053372, -611.400005598621, -611.398663461253, -611.3986634525445, -611.3972158856245, -611.3972158906796, -611.3965510884786, -611.396551069921, -611.397173836521, -611.3971739006269, -611.3986362733464, -611.3986362604243, -611.4000123838896, -611.4000123990974, -611.4005729395493, -611.4005728929919, -611.4002053929313, -611.4002053987483, -611.3997360597318]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_19
20	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2C(=O)C(=C([N:4]2[H])[H])[H])[H])[H]	(3, 5, 10, 9)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-532.561750344698, -532.5604001395975, -532.5620489793517, -532.5588268419752, -532.5611255501019, -532.5578125858834, -532.5592669766115, -532.5570408433649, -532.5571014971772, -532.5563292799314, -532.5559815153064, -532.5558623529394, -532.5558601958938, -532.5559608986472, -532.5563260362458, -532.556997645768, -532.5570231521502, -532.5592378508671, -532.557775281694, -532.561166248423, -532.5587276347487, -532.5620730231383, -532.5601942378587, -532.5616152734137]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_20
21	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[C:4](=NN(C2=O)[H])[H])[H])[H]	(3, 5, 10, 6)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-548.6364301773783, -548.6370265314961, -548.6370265337606, -548.6374919672647, -548.6374919419284, -548.6370496967897, -548.6370496751646, -548.6358883064383, -548.6358875287348, -548.6346190938835, -548.6346179880439, -548.6340215978569, -548.6340218075414, -548.6346000742058, -548.6346003524358, -548.6358936039909, -548.6358938125771, -548.6370625094336, -548.637062067151, -548.6374912660289, -548.6374906300202, -548.6370018210276, -548.6370014492962, -548.6364245067767]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_21
22	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(c3c(c(c(c(c3[S:4]2)[H])[H])[H])[H])[H])[H])[H]	(5, 9, 13, 14)	[-120, -135, -105, -150, -90, -165, -75, -60, 180, -45, 165, -30, 150, -15, 135, 0, 120, 15, 105, 30, 90, 45, 75, 60]	[-937.7771248430345, -937.7785011555808, -937.775648905533, -937.7791518179143, -937.7749816338469, -937.7790184250614, -937.7756421956866, -937.77713225298, -937.7787725194178, -937.778515623765, -937.7790189648817, -937.7791535361222, -937.7791512979605, -937.77901911243, -937.7785001616353, -937.7787726515176, -937.7771191110396, -937.779019011688, -937.7756488401477, -937.7791524807648, -937.7749825595218, -937.7785143742385, -937.7756434298092, -937.7771317526001]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_22
23	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]C(=NN2[H])[H])[H])[H]	(3, 5, 7, 9)	[-150, -165, -135, -120, 180, -105, 165, -90, 150, -75, 135, -60, 120, -45, 105, -30, 90, -15, 75, 0, 60, 15, 45, 30]	[-473.39073179635113, -473.39127941882145, -473.3893810711151, -473.3874042137874, -473.3913535350753, -473.3854871624649, -473.39127971226094, -473.3846544237011, -473.3907317412559, -473.38551318807254, -473.3893810843717, -473.3874157048456, -473.3874044028057, -473.3893752115463, -473.38548739566994, -473.3907277573039, -473.38465384474864, -473.3912787966421, -473.38551328165676, -473.39135234343235, -473.3874145048147, -473.39127884939194, -473.3893749842501, -473.3907273107822]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_23
24	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2c(c(nc3[n+:4]2N(C(=C3[H])[H])[H])[H])[H])[H])[H]	(3, 7, 8, 13)	[120, 105, 135, 90, 150, 75, 165, 60, 180, -165, 45, -150, 30, -135, 15, -120, 0, -105, -15, -90, -30, -75, -45, -60]	[-627.3977656279127, -627.3966505936686, -627.3980778616893, -627.3959787582153, -627.396662256807, -627.3966085472373, -627.3930477858087, -627.3978022569293, -627.3876890128851, -627.3930465170275, -627.3979997794984, -627.3966619442016, -627.3961791896683, -627.3980780585028, -627.3922862316116, -627.3977545771506, -627.3871303284715, -627.3966503429428, -627.3922833168893, -627.3959783535523, -627.3961785015897, -627.3966074473791, -627.3979997718849, -627.3978027943933]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_24
25	[H]c1[c:1]([c:2](c(nc1[H])[H])[C:3]2=C(N(C(=[N:4]2)[H])[H])[H])[H]	(1, 4, 7, 9)	[0, 180, -165, -15, 15, 165, -150, -30, 30, 150, -135, -45, 45, 135, -120, -60, 60, 120, -105, -75, 75, 105, -90, 90]	[-473.3935942019892, -473.3922056469451, -473.39207235369577, -473.39341268426165, -473.3934126887059, -473.39207235635564, -473.3914361165848, -473.3926414120268, -473.3926414136412, -473.39143611975334, -473.39003182413626, -473.39103071593456, -473.39103083202116, -473.3900318219087, -473.3880927041896, -473.3888256168599, -473.3888256222863, -473.388092700798, -473.38631291398804, -473.3867097491474, -473.3867097535074, -473.386312908019, -473.38567702574227, -473.3856770228575]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_25
26	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(OC(=[N:4]2)[H])[H])[H])[H]	(3, 5, 8, 9)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-477.21300702348685, -477.21280810522137, -477.21280810798436, -477.21204940716683, -477.2120494381935, -477.2105293538425, -477.21052936314334, -477.2084942472715, -477.20849342707436, -477.2066199606962, -477.2066200049753, -477.2058480258987, -477.2058480426576, -477.20665178665, -477.2066517878797, -477.2085015662354, -477.20850157318364, -477.2105060084449, -477.2105059728487, -477.21202311015895, -477.2120231523017, -477.21280011536066, -477.2128001288037, -477.2129995412667]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_26
27	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=C(C(=N[N:4]2[H])[H])[H])[H])[H]	(3, 5, 8, 10)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-457.33526693584054, -457.3346337091406, -457.335015857312, -457.33327837260543, -457.3346181440748, -457.3350159430012, -457.3318425742914, -457.33526656781214, -457.33120932906456, -457.3346355442835, -457.33181614930743, -457.3332778365362, -457.33323986965934, -457.33184364660343, -457.3346240157951, -457.33120946839097, -457.33526743814934, -457.3318138446446, -457.33501481017845, -457.33324099852285, -457.334618584691, -457.3346239911976, -457.33501480269473, -457.3352674422217]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_27
28	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[N:4]N=NN2[H])[H])[H]	(3, 5, 6, 7)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-489.39541533516865, -489.3953487845875, -489.3953487915876, -489.39488637506224, -489.3948863689483, -489.3937159949594, -489.3937160277394, -489.39199606185514, -489.3919960389755, -489.39032403083235, -489.3903240358162, -489.3896106910107, -489.38961069800246, -489.39032402669994, -489.3903240233825, -489.3919698043317, -489.3919698090982, -489.39368579854715, -489.39368614170286, -489.3948730048434, -489.39487300271, -489.3953469270987, -489.3953469308145, -489.3954081920656]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_28
29	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2[c:4](c3c(nc2[H])N(C(=C3[H])[H])[H])[H])[H])[H]	(3, 7, 8, 5)	[-150, -165, -135, -120, 180, -105, 165, -90, 150, -75, 135, -60, 120, -45, 105, -30, 90, -15, 75, 0, 60, 15, 45, 30]	[-611.0186752657854, -611.0169196519732, -611.018978100681, -611.017900707277, -611.0154985228971, -611.0163833414408, -611.0169194644932, -611.0156829655765, -611.0186713696711, -611.0163854109504, -611.0189781334532, -611.017884679461, -611.0179005715852, -611.0189707302139, -611.016383805115, -611.0186866868011, -611.015683008875, -611.0169563706187, -611.0163855606, -611.0154975102342, -611.0178847658917, -611.0169563750252, -611.0189714279792, -611.018686699165]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_29
30	[H]c1[c:1]([c:2](c(nc1[H])[H])[C:3]2=[C:4](N(N=C2[H])[H])[H])[H]	(1, 4, 7, 5)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-473.3729446525352, -473.37230665049543, -473.37283456873826, -473.3709831628652, -473.3725955491243, -473.3728345138381, -473.3695642574352, -473.3729446587899, -473.36891190417566, -473.3723065039482, -473.36948740230736, -473.37098426742085, -473.3707988757043, -473.3695637106274, -473.3720221191444, -473.3689114381636, -473.37259419439425, -473.3694870250591, -473.37245779693393, -473.3707974303679, -473.37221633006635, -473.3720217564743, -473.3724575819706, -473.3725934669291]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_30
31	[H]c1[n:1][c:2](c2c(n1)N(C(=C2[H])[H])[H])[C:3]3=[C:4](N(N=C3[H])[H])[H]	(9, 2, 8, 6)	[-30, -45, -15, -60, 0, -75, 15, -90, 30, -105, 45, -120, 60, -135, 75, -150, 90, -165, 105, 120, 180, 135, 165, 150]	[-621.019960780079, -621.0178801744433, -621.0210086207971, -621.0151382928611, -621.0212266646902, -621.0124959927532, -621.0210080620192, -621.0111301502845, -621.019953290996, -621.0119873853307, -621.017879465359, -621.0144273089613, -621.0151368333189, -621.0170497035375, -621.0124968003473, -621.0188740956586, -621.0111287029695, -621.0196452589345, -621.0119872144019, -621.0144272728783, -621.0197504752726, -621.0170471481857, -621.0196462373655, -621.0188718486634]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_31
32	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2[c:4](c(nc3c2c(c(c(c3[H])[H])[H])[H])[H])[H])[H])[H]	(6, 12, 13, 9)	[-90, -105, -75, -120, -60, -135, -45, -150, -30, -165, -15, 0, 180, 15, 165, 30, 150, 45, 135, 60, 120, 75, 105, 90]	[-633.0900883110556, -633.0905277549666, -633.0905098178193, -633.0912374206846, -633.0911949768011, -633.0906710285483, -633.0909179652934, -633.0875837068378, -633.0884814274021, -633.0816520168645, -633.083464196386, -633.0765083212992, -633.0744069550913, -633.083462077486, -633.0816513968307, -633.0884812117127, -633.0875826238308, -633.0909174404575, -633.0906713434573, -633.0911952311537, -633.0912370701243, -633.0905099354009, -633.0905268048875, -633.0900880677333]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_32
33	[H]c1c([n:1][c:2](nc1[H])[N:3]2C(=C(C(=[N:4]2)[H])[H])[H])[H]	(7, 3, 10, 9)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-489.413034504119, -489.4125644206488, -489.41256442119266, -489.4111233181113, -489.4111233247275, -489.4087013020403, -489.40870130182867, -489.40559014219275, -489.40559014592253, -489.4025532436716, -489.40255324381224, -489.4010754333577, -489.4010754342885, -489.40248594049064, -489.4024859386994, -489.40540874567864, -489.405408753, -489.40848148772903, -489.4084814709284, -489.41097619838854, -489.410976199373, -489.41252218304993, -489.41252210242953, -489.4130338860717]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_33
34	[H]c1c([c:1]([c:2](c(c1[H])[H])[C:3]2=[C:4](Oc3c(c(c(c(c3C2=O)[H])[H])[H])[H])[H])[H])[H]	(5, 9, 13, 12)	[60, 45, 75, 30, 90, 15, 105, 0, 120, -15, 135, -30, 150, -45, 165, -60, 180, -165, -75, -150, -90, -135, -105, -120]	[-728.1918860272318, -728.1929409712825, -728.1904052411026, -728.192560620765, -728.1897002836824, -728.1906839597267, -728.1903588545873, -728.1891919199118, -728.1919079651515, -728.1906840564741, -728.1929631331795, -728.1925608020172, -728.1924818719423, -728.1929405844522, -728.1905687441106, -728.1918845283757, -728.189192211344, -728.1905686822323, -728.1904053051101, -728.1924815747374, -728.1897015257658, -728.1929625849826, -728.190358209292, -728.1919094928381]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_34
